Site,Date,Chl_mean,Dominant,Chl_min,Chl_max
LBS,2018-06-08,11.900007752279075,Cyanobacteria,6.6890506254175035,19.295691742849343
LBS,2018-06-09,10.539503606785265,Cyanobacteria,5.942277326032891,17.07916545739771
LBS,2018-06-12,18.03829424765851,Cyanobacteria,10.075982179841336,28.828996729594916
LBS,2018-06-15,8.754970123589356,Cyanobacteria,5.07901464450324,13.950548023008759
LBS,2018-06-17,7.087448503453985,Cyanobacteria,4.190227943129312,11.070130448492268
LBS,2018-06-18,19.120512423368584,Cyanobacteria,10.599765461039226,32.06666360412644
LBS,2018-06-19,8.560356377891617,Cryptophyta,5.06030094853118,13.671091508682188
LBS,2018-06-21,16.398442258921456,Cyanobacteria,9.184982003133978,27.0029719805021
LBS,2018-06-25,10.629132994553615,Cyanobacteria,5.847121978957807,17.174879034116625
LBS,2018-06-27,20.29828118609477,Bacillariophyta,11.213210326711135,35.06311363835394
LBS,2018-06-28,16.84445821421427,Cyanobacteria,9.221937097418888,28.227306345657645
LBS,2018-06-29,69.83764180240374,Bacillariophyta,38.689101438471546,123.14977284358297
LBS,2018-07-02,57.64416118500814,Bacillariophyta,32.05076933057325,99.8706690830793
LBS,2018-07-03,46.936265365256716,Bacillariophyta,26.03156002831734,80.76108949046606
LBS,2018-07-05,69.71385292733613,Bacillariophyta,38.38659610345097,120.80451385431317
LBS,2018-07-06,36.68825017742136,Bacillariophyta,20.264617902795944,63.539054795384835
LBS,2018-07-09,42.935694221836805,Bacillariophyta,23.73393543936492,74.03164254517084
LBS,2018-07-13,26.087824029837186,Bacillariophyta,14.673769777208829,45.588879878523976
LBS,2018-07-16,126.82662008011403,Bacillariophyta,70.29735416533447,223.1620574795098
LBS,2018-07-18,18.100693580876744,Bacillariophyta,10.04103370816547,31.201920057383948
LBS,2018-07-24,89.12636979664607,Bacillariophyta,49.54201715503396,157.95321390895143
LBS,2018-07-26,29.223503794651503,Bacillariophyta,16.285919927130266,51.73854575158209
LBS,2018-07-31,25.113385073609827,Bacillariophyta,14.087101238807232,44.05407954192684
LBS,2018-08-02,15.780556097723885,Bacillariophyta,8.78294710552979,27.939204580943976
LBS,2018-08-07,7.562052008798914,Bacillariophyta,4.25741354657164,13.071651016097901
LBS,2018-08-09,7.620596493737151,Bacillariophyta,4.317901146342892,13.144384937519098
LBS,2018-08-14,0.8023943654555121,Bacillariophyta,0.4474554576604785,1.4221888528378368
LBS,2018-08-16,0.743972195873442,Bacillariophyta,0.41715956231194307,1.3097083133974716
LBS,2019-04-09,9.136154663575628,Bacillariophyta,5.321266841144563,15.591842560316186
LBS,2019-04-17,14.316082445508844,Bacillariophyta,7.993372304939958,25.290780408791
LBS,2019-04-23,12.909471157451998,Bacillariophyta,7.4041388295803,21.590838106007233
LBS,2019-04-30,9.62470530478292,Bacillariophyta,5.348533323020583,17.105227509468452
LBS,2019-05-07,7.124417330761155,Bacillariophyta,4.089368688601046,12.14558775374243
LBS,2019-05-14,7.675693052608874,Bacillariophyta,4.518987860620603,12.631237757678155
LBS,2019-05-21,8.039991253656044,Bacillariophyta,4.871751778002937,13.188069182799223
LBS,2019-05-28,5.26857476336217,Bacillariophyta,3.047976172362138,8.90982896633147
LBS,2019-05-30,8.869037528501769,Bacillariophyta,5.091044605195172,15.008849308257721
LBS,2019-06-03,3.8859243551907854,Bacillariophyta,2.2173446547505553,6.646194959990713
LBS,2019-06-04,4.589700035951424,Bacillariophyta,2.5663009311588683,8.026123387276815
LBS,2019-06-05,2.242468127919079,Bacillariophyta,1.2461382733870034,3.910020804380459
LBS,2019-06-06,2.79865121675951,Cyanobacteria,1.589425200285402,4.647254689451375
LBS,2019-06-07,2.4644189870930577,Bacillariophyta,1.3904252724496595,4.254709753088041
LBS,2019-06-10,28.585780173996607,Cyanobacteria,15.473717566154008,47.1891772396941
LBS,2019-06-11,19.240105499250472,Cyanobacteria,10.397632445297662,31.01348080638745
LBS,2019-06-12,2.7540015724330367,Cyanobacteria,1.4919319135056404,4.491223310697126
LBS,2019-06-13,5.519933030525111,Cyanobacteria,3.1024472352974173,9.028030706720948
LBS,2019-06-14,7.810513377912236,Cyanobacteria,4.323701328068546,12.974929604035072
LBS,2019-06-17,7.389830368133527,Cyanobacteria,4.053437933846943,12.010250212302518
LBS,2019-06-18,10.269910128836232,Cyanobacteria,5.690506747206454,16.527768988821798
LBS,2019-06-19,15.192271502062361,Cyanobacteria,8.454784538428841,24.266778252877337
