$ 2013 pst,,,,,,,,,,,
"# Blowout used as estimate for TDS, Breitenbush for SED, Blowout for all others",,,,,,,,,,,
#   JDAY,TDS,BIGSED,PTSED,PO4,NH4,Nox,RDOM,RPOM,ALG-BG,ALG-OTH,DO
6.75,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.6754501
6.792,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.70477699
6.833,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.70477699
6.875,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.70060261
6.917,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.70060261
6.958,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.70060261
7,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.69208686
7.042,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.69208686
7.083,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.69642822
7.125,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.73021488
7.167,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.72167695
7.208,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.71732428
7.25,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.71313901
7.292,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.71732428
7.333,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.72167695
7.375,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.73021488
7.417,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.70477699
7.458,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.63346083
7.5,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.56278654
7.542,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.56278654
7.583,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.53798974
7.625,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.55068165
7.667,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.55068165
7.708,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.58377394
