$
,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66,
   1.000,     0.000,     0.000,     0.000,   148.200,   183.900,   144.300,   190.600,   273.500,   338.000,   555.300,   645.900,   554.900,   643.600,   591.500,  1447.800,  1267.300,  1053.300,   980.800,   889.400,   854.600,   958.400,   793.500,   513.900,   481.900,   607.900,   629.000,   632.400,   625.800,   504.800,   382.000,   358.600,   381.100,   437.900,   462.500,     0.000,     0.000,     0.000,     0.000,    21.000,   145.700,   202.400,   391.100,   436.300,   560.700,   588.200,   501.000,   809.800,     0.000,     0.000,     0.000,    86.300,   233.200,   377.000,   241.400,   238.900,   297.800,   378.400,     0.000,     0.000,    47.900,   122.400,   166.500,   310.600,   349.100,   252.000,     0.000, 16
   1.000,     0.000,     0.000,     0.000,   130.900,   172.700,   136.500,   180.400,   261.700,   329.900,   550.900,   638.000,   550.600,   638.500,   587.600,  1427.100,  1252.100,  1043.500,   971.200,   884.600,   849.000,   956.000,   790.200,   510.900,   478.700,   604.500,   624.500,   629.100,   619.900,   499.500,   377.900,   355.700,   378.000,   432.800,   457.200,     0.000,     0.000,     0.000,     0.000,    19.500,   136.200,   191.900,   375.600,   422.500,   529.900,   566.900,   481.400,   788.100,     0.000,     0.000,     0.000,    79.500,   223.900,   350.000,   237.100,   233.400,   292.800,   373.200,     0.000,     0.000,    43.800,   119.500,   163.500,   304.000,   342.700,   249.200,     0.000, 17
   1.000,     0.000,     0.000,     0.000,   114.600,   161.000,   128.000,   170.000,   250.100,   320.900,   545.800,   629.100,   546.400,   633.400,   583.500,  1406.700,  1237.200,  1033.300,   961.900,   879.800,   843.400,   953.600,   786.900,   507.900,   475.500,   601.000,   620.000,   625.300,   614.000,   494.200,   374.000,   352.800,   374.900,   427.700,   451.700,     0.000,     0.000,     0.000,     0.000,    17.600,   126.000,   180.900,   358.500,   408.000,   496.800,   545.300,   462.100,   764.400,     0.000,     0.000,     0.000,    72.500,   212.200,   328.800,   232.600,   227.900,   287.600,   367.800,     0.000,     0.000,    40.300,   116.500,   160.500,   294.000,   335.200,   246.400,     0.000, 18
   1.000,     0.000,     0.000,     0.000,    96.100,   148.200,   118.800,   159.600,   238.600,   311.200,   539.600,   620.000,   542.500,   628.500,   579.400,  1385.000,  1221.300,  1022.400,   952.900,   874.900,   837.600,   951.100,   783.600,   504.800,   472.200,   597.500,   615.200,   620.800,   607.800,   489.100,   370.100,   349.900,   371.900,   423.300,   446.700,     0.000,     0.000,     0.000,     0.000,    15.400,   114.900,   169.000,   340.200,   392.100,   463.100,   522.300,   443.600,   741.800,     0.000,     0.000,     0.000,    63.000,   199.900,   320.800,   228.200,   222.500,   282.300,   362.200,     0.000,     0.000,    36.900,   113.500,   157.500,   281.500,   326.200,   243.600,     0.000, 19
   1.000,     0.000,     0.000,     0.000,    68.200,   132.100,   109.000,   148.800,   227.100,   301.000,   532.700,   611.300,   538.600,   623.800,   575.100,  1360.100,  1202.800,  1010.200,   944.200,   869.900,   831.800,   948.400,   780.200,   501.800,   469.000,   593.900,   609.500,   615.300,   601.500,   483.900,   366.300,   347.000,   369.000,   418.900,   441.600,     0.000,     0.000,     0.000,     0.000,    10.300,   101.200,   154.800,   320.300,   373.600,   429.600,   496.900,   426.100,   718.500,     0.000,     0.000,     0.000,    51.600,   188.300,   295.100,   223.600,   216.900,   276.900,   356.400,     0.000,     0.000,    32.900,   110.500,   154.600,   268.900,   317.600,   240.900,     0.000, 20
   1.000,     0.000,     0.000,     0.000,    40.300,    99.000,    98.800,   135.900,   216.000,   291.400,   526.100,   603.000,   534.800,   619.100,   570.600,  1332.200,  1180.200,   997.100,   936.200,   864.800,   825.800,   945.600,   776.800,   498.800,   465.700,   590.200,   603.700,   610.300,   595.100,   478.900,   362.600,   344.100,   366.100,   414.700,   436.700,     0.000,     0.000,     0.000,     0.000,     5.000,    81.000,   136.100,   294.400,   354.700,   398.800,   473.400,   410.800,   693.700,     0.000,     0.000,     0.000,    40.600,   174.500,   267.600,   219.100,   211.200,   271.400,   350.400,     0.000,     0.000,    29.400,   107.600,   151.600,   257.100,   310.400,   238.100,     0.000, 21
   1.000,     0.000,     0.000,     0.000,    27.100,    56.600,    88.600,   122.000,   205.800,   282.900,   520.100,   595.700,   531.100,   614.400,   566.000,  1304.400,  1157.500,   984.900,   928.800,   859.500,   820.000,   942.600,   773.400,   495.900,   462.500,   586.400,   598.900,   606.600,   588.800,   474.000,   358.900,   341.300,   363.300,   411.000,   432.300,     0.000,     0.000,     0.000,     0.000,     0.000,    50.900,   114.100,   266.800,   338.500,   374.900,   454.800,   398.600,   673.800,     0.000,     0.000,     0.000,    29.300,   160.400,   252.900,   214.400,   205.600,   265.900,   344.200,     0.000,     0.000,    26.100,   104.700,   148.700,   248.100,   304.600,   235.300,     0.000, 22
   1.000,     0.000,     0.000,     0.000,    21.300,    28.600,    77.800,   109.000,   196.400,   275.000,   514.300,   589.100,   527.400,   609.700,   561.200,  1278.500,  1137.600,   974.400,   922.000,   854.300,   814.300,   939.700,   770.000,   492.900,   459.300,   582.700,   594.300,   603.300,   582.800,   469.200,   355.400,   338.500,   360.700,   407.500,   428.100,     0.000,     0.000,     0.000,     0.000,     0.000,    20.200,    91.000,   243.300,   324.000,   356.400,   438.700,   388.500,   658.900,     0.000,     0.000,     0.000,    19.800,   147.000,   242.500,   209.700,   200.500,   260.400,   338.100,     0.000,     0.000,    22.600,   101.700,   145.800,   240.900,   300.000,   232.600,     0.000, 23
   1.000,     0.000,     0.000,     0.000,    15.300,    16.900,    65.800,    97.900,   187.500,   267.600,   508.800,   582.900,   523.800,   604.800,   556.200,  1253.800,  1118.800,   964.600,   915.400,   849.200,   808.500,   936.700,   766.600,   490.000,   456.200,   578.900,   589.900,   600.200,   576.900,   464.600,   351.900,   335.700,   358.100,   404.200,   424.100,     0.000,     0.000,     0.000,     0.000,     0.000,     5.000,    67.000,   221.100,   309.800,   339.100,   423.800,   379.100,   643.900,     0.000,     0.000,     0.000,    11.600,   128.900,   227.000,   205.100,   195.700,   254.900,   332.200,     0.000,     0.000,    19.100,    98.800,   142.900,   233.700,   296.400,   229.800,     0.000, 24
   1.000,     0.000,     0.000,     0.000,    10.700,    11.400,    51.500,    88.400,   178.800,   260.300,   503.200,   576.800,   520.200,   599.800,   551.100,  1230.500,  1101.100,   955.000,   908.900,   844.100,   802.700,   933.500,   763.100,   487.100,   453.000,   575.000,   585.500,   597.200,   571.100,   460.000,   348.500,   332.900,   355.500,   400.900,   420.200,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    46.500,   198.300,   295.600,   322.600,   410.200,   370.100,   629.100,     0.000,     0.000,     0.000,     5.000,   111.000,   213.000,   200.400,   190.900,   249.400,   326.300,     0.000,     0.000,    15.500,    95.800,   140.100,   226.300,   292.800,   227.100,     0.000, 25
