Date,Site ID (new),Chl RFU,Chl ug/L
2012-07-24,BB,0.3,1.2
2012-07-31,LB,0.1,0.4
2012-07-31,LB,0.1,0.2
2012-07-31,LB,0.0,0.1
2012-07-31,HT,0.0,0.1
2012-07-31,HT,0.1,0.5
2012-07-31,HT,0.1,0.5
2012-07-31,BO,0.3,0.9
2012-07-31,BO,0.1,0.3
2012-07-31,BO,0.2,0.6
2012-07-31,BB,0.2,0.8
2012-07-31,BB,0.3,1.0
2012-07-31,BB,0.1,0.5
2012-08-07,BB,0.2,0.7
2012-08-07,BB,0.3,1.2
2012-08-07,BB,0.2,1.0
2012-08-07,BB,0.2,0.7
2012-08-07,BB,0.4,1.6
2012-08-07,BB,0.4,1.8
2012-08-07,BB,0.4,1.6
2012-08-07,BB,0.3,1.1
2012-08-07,BO,0.1,0.5
2012-08-07,BO,0.1,0.4
2012-08-07,BO,0.1,0.5
2012-08-07,HT,0.1,0.5
2012-08-07,HT,0.3,1.3
2012-08-07,HT,0.2,0.9
2012-08-07,LB,0.0,0.0
2012-08-07,LB,0.0,0.0
2012-08-07,PK,0.0,0.1
2012-08-07,PK,0.2,0.7
2012-08-14,LB,0.0,0.2
2012-08-14,LB,0.1,0.3
2012-08-14,HT,0.1,0.4
2012-08-14,HT,0.0,0.2
2012-08-16,LB,0.1,0.6
2012-08-16,PK,0.1,0.6
2012-08-16,PK,0.1,0.5
2012-08-16,PK,0.1,0.6
2012-08-16,PK,0.1,0.6
2012-08-16,PK,0.1,0.3
2012-08-17,LB,0.1,0.4
2012-08-17,HT,0.0,0.2
2012-08-21,BB,0.2,1.0
2012-08-21,BB,0.2,0.7
2012-08-21,BB,0.2,0.8
2012-08-21,BO,0.0,0.1
2012-08-21,BO,0.1,0.5
2012-08-21,BO,0.1,0.5
2012-08-21,BO,0.2,0.8
2012-08-21,BO,0.3,1.1
2012-08-21,BO,0.1,0.6
2012-08-21,HT,0.2,1.0
2012-08-21,HT,0.3,1.2
2012-08-21,HT,0.1,0.5
2012-08-21,HT,0.1,0.3
2012-08-21,LB,0.2,1.0
2012-08-28,LB,0.1,0.4
2012-08-28,HT,0.2,0.7
2012-08-28,HT,0.0,0.0
2012-08-28,BO,0.1,0.4
2012-08-28,BO,0.1,0.4
2012-08-28,BB,0.0,0.0
2012-08-28,BB,0.2,0.8
2012-09-04,LB,0.1,0.5
2012-09-04,LB,0.2,0.6
2012-09-04,LB,0.2,0.6
2012-09-04,HT,0.1,0.3
2012-09-04,HT,0.1,0.4
2012-09-04,HT,0.0,0.1
2012-09-06,LB,0.2,0.7
2012-09-06,LB,0.2,0.8
2012-09-06,LB,0.2,0.7
2012-09-06,HT,0.1,0.4
2012-09-06,HT,0.1,0.5
2012-09-06,HT,0.1,0.2
2012-09-06,HT,0.1,0.3
2012-09-06,HT,0.1,0.5
2012-09-06,BB,0.1,0.2
2012-09-06,BB,0.2,0.7
2012-09-11,LB,0.4,1.7
2012-09-11,LB,0.4,1.7
2012-09-11,LB,0.2,0.9
