chl,date,sensor
71.98012293385672,2018-08-24,Terra
84.64774618313918,2018-08-28,Terra
76.7300362387243,2018-08-29,Terra
71.48659215646173,2018-09-01,Terra
89.7769160513654,2018-09-02,Terra
82.47666827429036,2018-09-03,Terra
86.85876111836957,2018-09-04,Terra
94.18099160091965,2018-09-05,Terra
78.33026149062498,2018-09-06,Terra
77.41045053978833,2018-09-07,Terra
81.84335484165022,2018-09-08,Terra
85.46005467738028,2018-09-09,Terra
77.97267874149783,2018-09-18,Terra
71.09517907420562,2018-09-19,Terra
58.747254576956145,2018-09-20,Terra
57.91408151125303,2018-09-24,Terra
65.85011905440767,2018-09-25,Terra
68.6554914709803,2018-09-26,Terra
80.16016165855036,2018-09-27,Terra
67.76612799813623,2018-09-28,Terra
55.432014105026326,2018-10-03,Terra
60.40014029802399,2018-10-10,Terra
65.18605829044802,2018-10-11,Terra
54.48303910721031,2018-10-12,Terra
70.05380401048426,2018-10-13,Terra
61.94187354487444,2018-10-14,Terra
70.50995478486054,2018-10-15,Terra
68.23770732848838,2018-10-16,Terra
56.545214026372115,2018-10-17,Terra
54.66110526630343,2018-10-18,Terra
50.102914193954966,2018-10-19,Terra
52.90902505035294,2018-10-20,Terra
55.191675059867286,2018-10-21,Terra
61.435254350479454,2018-10-22,Terra
50.72425015317941,2018-11-08,Terra
38.19092608324167,2018-11-09,Terra
44.271765797254766,2018-11-10,Terra
38.12910199614771,2018-11-11,Terra
34.885223338358315,2018-11-12,Terra
51.51972228071331,2018-11-15,Terra
36.18794861702379,2018-11-16,Terra
50.31846491747591,2018-11-17,Terra
41.08725280869417,2018-11-18,Terra
47.05749002681423,2018-11-19,Terra
38.55340953667998,2018-11-20,Terra
34.673685045253166,2018-12-04,Terra
33.870092423097894,2018-12-05,Terra
38.73517817769697,2018-12-06,Terra
34.765122635056066,2018-12-13,Terra
36.77658581080496,2018-12-31,Terra
36.605546096913386,2019-01-01,Terra
36.626518075885855,2019-01-02,Terra
49.943773209510745,2019-01-12,Terra
46.17186966048162,2019-01-13,Terra
44.675516473975975,2019-01-14,Terra
35.942947485486776,2019-01-24,Terra
41.07681873026428,2019-01-25,Terra
45.58046048971121,2019-01-29,Terra
31.483417112731967,2019-01-30,Terra
35.144050870993226,2019-01-31,Terra
33.995297815345744,2019-03-03,Terra
35.36445755649377,2019-03-10,Terra
41.04864642150997,2019-03-15,Terra
42.68087889304408,2019-03-17,Terra
35.4708219623138,2019-03-18,Terra
36.45476065552784,2019-03-19,Terra
44.08515754531834,2019-03-24,Terra
61.98886936382164,2019-03-30,Terra
80.56830447124523,2019-04-18,Terra
81.03200163723284,2019-04-24,Terra
94.08931027847629,2019-04-26,Terra
112.65513507403294,2019-04-28,Terra
90.63698929761767,2019-04-29,Terra
88.70727767152127,2019-04-30,Terra
88.54628159143789,2019-05-01,Terra
92.17324215202426,2019-05-02,Terra
89.99725923658943,2019-05-03,Terra
77.79193877185011,2019-05-04,Terra
84.21140499757732,2019-05-05,Terra
95.43409561359145,2019-05-06,Terra
69.7989303596501,2019-05-07,Terra
74.05939133029158,2019-05-08,Terra
72.32866112572037,2019-05-09,Terra
96.93422179795871,2019-05-10,Terra
101.50624830012642,2019-05-11,Terra
88.27845340461495,2019-05-13,Terra
84.36937318152468,2019-05-29,Terra
88.21275970877032,2019-05-31,Terra
66.26013125632775,2019-06-01,Terra
92.54608141802312,2019-06-02,Terra
89.99289384688996,2019-06-03,Terra
101.83068014304882,2019-06-04,Terra
135.63535159455108,2019-06-11,Terra
104.83505560149885,2019-06-12,Terra
114.45083220217694,2019-06-13,Terra
104.51075990181306,2019-06-14,Terra
75.7585388890425,2019-06-15,Terra
101.59262173784795,2019-06-16,Terra
46.72483527091411,2019-06-17,Terra
121.14963216189255,2019-06-18,Terra
80.25421929036526,2019-06-19,Terra
69.66572656172384,2019-06-22,Terra
107.31372104614697,2019-06-23,Terra
62.104093680776735,2019-06-24,Terra
69.08044720576486,2019-06-26,Terra
93.97542230759532,2019-06-28,Terra
119.5093083544323,2019-06-29,Terra
106.5255329273519,2019-06-30,Terra
106.51929957941485,2019-07-04,Terra
74.30990866149533,2019-07-05,Terra
87.55655583074956,2019-07-14,Terra
51.89293140581477,2019-07-19,Terra
94.53885382707247,2019-07-20,Terra
82.50724816655239,2019-07-21,Terra
116.77784770403795,2019-07-22,Terra
102.90596144141284,2019-07-24,Terra
94.9392540796766,2019-07-25,Terra
119.22389126432215,2019-07-27,Terra
70.52578859050999,2019-07-28,Terra
116.035619981093,2019-07-29,Terra
90.77934446547975,2019-07-30,Terra
106.13119383229055,2019-07-31,Terra
109.1530902650136,2019-08-01,Terra
94.04312819452959,2019-08-02,Terra
94.1809916009196,2019-08-03,Terra
59.17326206867702,2019-08-04,Terra
117.55537561987707,2019-08-05,Terra
83.72498787548265,2019-08-06,Terra
98.03153513973278,2019-08-07,Terra
83.32586496719334,2019-08-12,Terra
85.81433302130407,2019-08-13,Terra
105.46667303448922,2019-08-14,Terra
77.51337698742029,2019-08-15,Terra
104.33704853356203,2019-08-16,Terra
87.48473368937786,2019-08-17,Terra
96.78040824083334,2019-08-18,Terra
87.77084312345035,2019-08-19,Terra
84.94699630410885,2019-08-22,Terra
103.18142352452693,2019-08-23,Terra
74.4259157652161,2019-08-24,Terra
90.48137138099517,2019-08-25,Terra
91.95656978891725,2019-08-26,Terra
64.68788992895117,2019-08-27,Terra
73.07157782664397,2019-08-28,Terra
100.9490328501314,2019-08-30,Terra
98.95704587645122,2019-08-31,Terra
38.99531135577557,2019-09-01,Terra
84.32110663823069,2019-09-02,Terra
81.57075587877839,2019-09-03,Terra
80.5006853868756,2019-09-04,Terra
83.25626810913143,2019-09-05,Terra
77.80466008275607,2019-09-06,Terra
80.50474967137424,2019-09-11,Terra
96.22847130401502,2019-09-12,Terra
54.60220675726036,2019-09-14,Terra
75.73087998986705,2019-09-21,Terra
62.151217693247865,2019-09-25,Terra
98.83951559730937,2019-09-30,Terra
85.54817652527849,2019-10-01,Terra
41.87555914039045,2019-10-05,Terra
71.95903627920032,2019-10-06,Terra
82.86920491694936,2019-10-07,Terra
53.329611161713615,2019-10-09,Terra
82.17834862340455,2019-10-10,Terra
55.05145864418079,2019-10-14,Terra
68.46672234117526,2019-10-24,Terra
44.807698033278015,2019-10-27,Terra
45.30382808254585,2019-10-28,Terra
51.880667240168115,2019-10-29,Terra
60.17087788032927,2019-10-30,Terra
44.00797746185335,2019-11-01,Terra
49.1133820598003,2019-11-02,Terra
42.02828697260412,2019-11-03,Terra
44.41463474409247,2019-11-04,Terra
41.7961271619503,2019-11-06,Terra
31.70004431867278,2019-11-08,Terra
40.8793786899696,2019-11-09,Terra
41.60824916364565,2019-11-11,Terra
35.82978347576934,2019-11-20,Terra
33.75053772030624,2019-11-21,Terra
36.38359940862004,2019-11-22,Terra
33.00085889000761,2019-11-28,Terra
37.21919515886969,2019-11-29,Terra
36.46848894777795,2019-11-30,Terra
42.46899900644537,2019-12-02,Terra
33.296580040026804,2019-12-03,Terra
36.38698764063517,2019-12-05,Terra
23.650919430314296,2019-12-28,Terra
41.029463625496184,2020-01-25,Terra
42.19716131312709,2020-02-10,Terra
43.906713968674836,2020-02-12,Terra
40.26173394422246,2020-02-13,Terra
73.01955543039935,2020-02-18,Terra
70.0076924866796,2020-02-19,Terra
58.406226238777194,2020-02-21,Terra
60.93667668728386,2020-02-22,Terra
71.4762945933002,2020-02-25,Terra
63.874284363224895,2020-02-27,Terra
59.20982982778223,2020-02-28,Terra
43.59099956068785,2020-03-01,Terra
38.1944256546828,2020-03-04,Terra
59.01926932940461,2020-03-05,Terra
35.15378810302631,2020-03-09,Terra
58.77957873378085,2020-03-10,Terra
70.057041718121,2020-03-12,Terra
67.94416259765238,2020-03-15,Terra
60.79784625469108,2020-03-16,Terra
59.13944028684201,2020-03-17,Terra
58.083006934870475,2020-03-19,Terra
57.48470348294701,2020-03-21,Terra
59.171962420214626,2020-03-22,Terra
46.741478784826406,2020-04-05,Terra
55.40426147218483,2020-04-07,Terra
60.535354233334864,2020-04-08,Terra
55.74649519680223,2020-04-09,Terra
59.581932736672414,2020-04-10,Terra
71.42981994988504,2020-04-11,Terra
58.68199478275172,2020-04-12,Terra
61.01973944638614,2020-04-13,Terra
49.67820236729666,2020-04-14,Terra
53.05678261130808,2020-04-16,Terra
62.9689540462034,2020-04-17,Terra
62.15268893999311,2020-04-20,Terra
50.51536636240701,2020-04-28,Terra
59.89033886121218,2020-05-07,Terra
76.20422598924813,2020-05-08,Terra
77.0376982389216,2020-05-15,Terra
66.5080985364735,2020-05-24,Terra
79.14996388486847,2020-05-27,Terra
94.29505684006779,2020-05-28,Terra
57.35537665642591,2020-05-29,Terra
60.48477092795382,2020-06-01,Terra
86.05714368812806,2020-06-02,Terra
104.91144876609307,2020-06-18,Terra
80.39601854162768,2020-06-19,Terra
99.73940501357936,2020-06-21,Terra
130.07078598088953,2020-06-22,Terra
99.4078459697761,2020-06-25,Terra
94.6756847744596,2020-06-26,Terra
86.68450035070775,2020-07-02,Terra
59.581932736672414,2020-07-03,Terra
39.27429745028663,2020-07-05,Terra
113.5863921581308,2020-07-08,Terra
100.76749868228508,2020-07-10,Terra
91.74683787031593,2020-07-11,Terra
99.62230900240604,2020-07-13,Terra
106.48163167338534,2020-07-14,Terra
153.91353915926388,2020-07-15,Terra
96.49570700205491,2020-07-16,Terra
96.99058564931612,2020-07-18,Terra
93.61693533245655,2020-07-19,Terra
95.6085947745068,2020-07-20,Terra
62.27630743074475,2020-07-21,Terra
103.48485775157455,2020-07-22,Terra
90.72693055993635,2020-07-23,Terra
