date,log_ratio,ratio,sensor
2011-08-20,0.2621119296336115,1.8285714285714285,Terra
2011-08-21,0.2544871622457128,1.796747967479675,Terra
2011-08-22,0.2486419262042929,1.7727272727272725,Terra
2011-08-23,0.2826885394668694,1.9172932330827068,Terra
2011-08-25,0.2760277266939255,1.8881118881118881,Terra
2011-08-26,0.31587911670290025,2.0695652173913044,Terra
2011-08-27,0.21836042177053502,1.6533333333333333,Terra
2011-08-29,0.27492719309977603,1.883333333333333,Terra
2011-09-01,0.23449427514300078,1.7159090909090908,Terra
2011-09-02,0.325725222810008,2.117021276595745,Terra
2011-09-03,0.2543190590959835,1.7960526315789476,Terra
2011-09-04,0.28536236340857557,1.9291338582677164,Terra
2011-09-05,0.21436993903773033,1.6382113821138211,Terra
2011-09-06,0.30395454868129784,2.0135135135135136,Terra
2011-09-08,0.2218487496163564,1.6666666666666667,Terra
2011-09-09,0.3348882629249486,2.1621621621621623,Terra
2011-09-10,0.1877620625942178,1.5408560311284047,Terra
2011-09-11,0.2325219300011392,1.708133971291866,Terra
2011-09-12,0.15942119412513647,1.4435146443514646,Terra
2011-09-13,0.2798406965940431,1.9047619047619047,Terra
2011-09-19,0.16781873308969134,1.471698113207547,Terra
2011-09-20,0.27584644964573235,1.8873239436619718,Terra
2011-09-21,0.21799261345524518,1.6519337016574587,Terra
2011-09-23,0.23871667490365187,1.7326732673267327,Terra
2011-09-24,0.2806809464913493,1.9084507042253522,Terra
2011-09-28,0.18754451844637085,1.540084388185654,Terra
2011-09-29,0.2459824293330757,1.7619047619047619,Terra
2011-10-08,0.17469705406407596,1.4951923076923077,Terra
2011-10-14,0.21329094598109097,1.6341463414634148,Terra
2011-10-17,0.2136753017016484,1.6355932203389831,Terra
2011-10-18,0.20601233633362967,1.6069868995633187,Terra
2011-10-23,0.16180396795527627,1.4514563106796117,Terra
2011-10-24,0.08279662161457378,1.2100313479623823,Terra
2011-10-25,0.1359431086992504,1.3675496688741722,Terra
2011-10-26,0.09147341985217608,1.23444976076555,Terra
2011-10-27,0.08650981216745891,1.220421393841167,Terra
2011-11-01,0.047613219459954524,1.1158690176322419,Terra
2011-11-02,0.04126967298295049,1.0996884735202492,Terra
2011-11-29,-0.04034324167881536,0.9112903225806451,Terra
2011-12-01,0.012561116441365427,1.0293453724604966,Terra
2011-12-02,0.024424599331418297,1.0578512396694215,Terra
2011-12-03,0.05919132493385095,1.1460176991150444,Terra
2011-12-04,-0.017537826319016354,0.9604221635883905,Terra
2011-12-05,0.047424649928138135,1.1153846153846154,Terra
2011-12-06,0.0,1.0,Terra
