chl,date,sensor
21.99037911707872,2016-12-01,Terra
37.99341719504314,2016-12-03,Terra
25.789832681152053,2016-12-05,Terra
33.59415938050181,2016-12-10,Terra
46.33190114845156,2017-02-23,Terra
49.36175214614372,2017-02-24,Terra
49.01367138836341,2017-02-25,Terra
50.1672972954981,2017-02-28,Terra
34.83351784931264,2017-03-10,Terra
37.77749271161665,2017-03-16,Terra
40.65199714404065,2017-03-23,Terra
43.43825806061934,2017-03-27,Terra
38.02901571679121,2017-03-31,Terra
37.07185468816046,2017-04-02,Terra
38.20144572095755,2017-04-03,Terra
35.7141513221841,2017-04-08,Terra
37.47177111573451,2017-04-14,Terra
36.464364365146636,2017-04-15,Terra
28.937384982775765,2017-04-21,Terra
21.634875607728457,2017-04-28,Terra
27.42904238280585,2017-04-30,Terra
37.64050981481449,2017-05-01,Terra
30.91776277588554,2017-05-03,Terra
33.22494593262577,2017-05-07,Terra
21.861899694320154,2017-05-08,Terra
36.396724537328225,2017-05-09,Terra
34.37398998443391,2017-05-10,Terra
26.32590272906259,2017-05-14,Terra
23.373260610145163,2017-05-15,Terra
35.561383623141076,2017-05-17,Terra
17.12563553006279,2017-05-18,Terra
31.884768843749843,2017-05-19,Terra
41.94403731234296,2017-05-20,Terra
36.39592554259601,2017-05-21,Terra
37.994660754689505,2017-05-22,Terra
41.72220710598847,2017-05-25,Terra
36.85980994104603,2017-05-26,Terra
44.17818652117221,2017-05-27,Terra
28.59758512834206,2017-05-28,Terra
47.49223218266069,2017-06-01,Terra
41.5439394021407,2017-06-02,Terra
33.255158567952726,2017-06-03,Terra
34.55611203721801,2017-06-04,Terra
46.284605248204116,2017-06-05,Terra
33.60395439393239,2017-06-06,Terra
49.47072213896596,2017-06-12,Terra
49.83756173137423,2017-06-13,Terra
55.94573618487837,2017-06-17,Terra
47.882875694560916,2017-06-18,Terra
43.3704299311226,2017-06-19,Terra
40.21060314979595,2017-06-20,Terra
50.80968892055072,2017-06-21,Terra
41.61415515768409,2017-06-22,Terra
55.73299792896462,2017-06-23,Terra
57.694343996124836,2017-06-24,Terra
72.03268641424202,2017-06-26,Terra
92.945263925265,2017-06-28,Terra
63.780331284613986,2017-06-29,Terra
85.82146755099723,2017-06-30,Terra
92.79792880400632,2017-07-01,Terra
109.3447706399077,2017-07-02,Terra
86.76223814204066,2017-07-03,Terra
62.64874645449084,2017-07-04,Terra
94.18099160091965,2017-07-05,Terra
126.2328693598813,2017-07-06,Terra
154.52566406620562,2017-07-07,Terra
130.44788984005967,2017-07-08,Terra
103.70637428266133,2017-07-09,Terra
103.54605092518976,2017-07-10,Terra
109.04301013341902,2017-07-11,Terra
106.76028502582841,2017-07-12,Terra
73.26702162303485,2017-07-13,Terra
94.11486828895778,2017-07-14,Terra
86.38025021859916,2017-07-15,Terra
125.17023371719716,2017-07-16,Terra
80.63427037846839,2017-07-17,Terra
95.02969014498805,2017-07-18,Terra
133.9057429749574,2017-07-19,Terra
156.14562201728864,2017-07-20,Terra
109.22964492008911,2017-07-21,Terra
68.3846473381304,2017-07-22,Terra
73.59114408842858,2017-07-24,Terra
81.90726468108399,2017-07-25,Terra
127.43389585725126,2017-07-27,Terra
85.61692134724957,2017-07-28,Terra
84.92181738860667,2017-07-29,Terra
61.435254350479454,2017-07-30,Terra
58.57663821613552,2017-07-31,Terra
64.6393375712645,2017-08-01,Terra
57.40616931975017,2017-08-02,Terra
104.54570621988353,2017-08-08,Terra
78.65772077494815,2017-08-11,Terra
60.43560454888131,2017-08-16,Terra
125.44467600809637,2017-08-17,Terra
54.636161602514015,2017-08-20,Terra
65.1743607781819,2017-08-21,Terra
104.62751427939635,2017-08-24,Terra
64.9179272414182,2017-08-26,Terra
64.18803641350928,2017-08-27,Terra
947.6908074765653,2017-08-28,Terra
15.116416485849397,2017-08-31,Terra
77.93136898469115,2017-09-01,Terra
55.99701688321037,2017-09-05,Terra
74.39309230229624,2017-09-08,Terra
56.90339556852943,2017-09-10,Terra
58.50966627297372,2017-09-11,Terra
91.06321240161655,2017-09-21,Terra
96.91075221211985,2017-09-24,Terra
64.7875314807751,2017-09-26,Terra
75.42901705798275,2017-09-27,Terra
85.94435438091428,2017-09-28,Terra
37.50227715055673,2017-09-30,Terra
48.31310837948441,2017-10-01,Terra
46.6451817232319,2017-10-03,Terra
73.00742533505675,2017-10-05,Terra
57.15166155127026,2017-10-06,Terra
58.29129838910331,2017-10-07,Terra
46.26026264058565,2017-10-08,Terra
48.08941057676429,2017-10-10,Terra
51.936553644333635,2017-10-14,Terra
84.1150759740728,2017-10-16,Terra
58.6177798815331,2017-10-17,Terra
49.21957312912004,2017-10-18,Terra
61.12873211010479,2017-10-25,Terra
37.61474893185261,2017-10-26,Terra
44.270290848245565,2017-10-27,Terra
43.94265237764056,2017-10-28,Terra
49.38180390180893,2017-10-29,Terra
27.205116106658792,2017-10-31,Terra
40.77252097049461,2017-11-01,Terra
41.155148376124124,2017-11-04,Terra
36.425164051797694,2017-11-11,Terra
37.949933299248826,2017-11-14,Terra
40.737060862143885,2017-11-17,Terra
