system:index,chl,date,sensor,.geo
2011_12_22_0,46.43838963530736,2011-12-22,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_23_0,35.37593629260628,2011-12-23,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_10_0,57.6126767057352,2012-01-10,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_27_0,70.11375419112917,2012-01-27,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_02_02_0,74.56633160453275,2012-02-02,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_02_03_0,82.73947686173206,2012-02-03,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_02_05_0,39.535675005116545,2012-02-05,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_02_06_0,96.46328130693854,2012-02-06,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_02_12_0,33.47172050901887,2012-02-12,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_02_23_0,38.03386599869527,2012-02-23,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_02_24_0,111.58731914186251,2012-02-24,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_03_08_0,61.64554301618367,2012-03-08,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_03_26_0,70.62492264961959,2012-03-26,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_04_14_0,84.39455519476508,2012-04-14,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_04_21_0,92.16214599888198,2012-04-21,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_04_22_0,110.41132081090862,2012-04-22,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_04_23_0,117.45451301078097,2012-04-23,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_05_06_0,78.70047431935535,2012-05-06,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_05_07_0,101.91159950995952,2012-05-07,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_05_09_0,97.54083997002675,2012-05-09,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_05_10_0,60.57697071536585,2012-05-10,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_05_12_0,89.18844333596142,2012-05-12,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_05_13_0,85.70436986839042,2012-05-13,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_05_14_0,96.04716436521547,2012-05-14,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_05_16_0,98.91768049428823,2012-05-16,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_05_17_0,68.11270517562762,2012-05-17,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_06_01_0,109.9897514003061,2012-06-01,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_06_06_0,83.23476662715298,2012-06-06,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_06_10_0,98.85458577227473,2012-06-10,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_06_13_0,46.42282885950895,2012-06-13,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_06_14_0,94.26736587782513,2012-06-14,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_06_15_0,76.97572212098835,2012-06-15,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_06_16_0,74.8032048066707,2012-06-16,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_06_20_0,52.261830085900876,2012-06-20,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_06_21_0,91.00523967981515,2012-06-21,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_02_0,115.7614757327568,2012-07-02,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_04_0,95.29555109196878,2012-07-04,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_05_0,83.0997627422898,2012-07-05,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_06_0,38.70056358252679,2012-07-06,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_07_0,87.65773900038378,2012-07-07,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_08_0,45.454270846488704,2012-07-08,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_09_0,95.08351070049027,2012-07-09,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_10_0,69.60319991056848,2012-07-10,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_11_0,95.6085947745068,2012-07-11,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_12_0,91.19728544782791,2012-07-12,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_13_0,53.123709753876604,2012-07-13,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_21_0,107.08053477557348,2012-07-21,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_23_0,98.28007866599373,2012-07-23,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_24_0,56.713370796394635,2012-07-24,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
