system:index,date,ndci,.geo
LC08_045029_20180507,2018-05-07,0.5574783683560016,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20180523,2018-05-23,-0.6340852130325766,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20180608,2018-06-08,0.39394263927859996,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20180624,2018-06-24,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20180710,2018-07-10,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20180726,2018-07-26,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20180811,2018-08-11,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20180827,2018-08-27,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20180912,2018-09-12,0.004937920161166641,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20180928,2018-09-28,-0.05213270142179214,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20181014,2018-10-14,0.24444444444445154,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20181030,2018-10-30,0.03443582414590987,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20181115,2018-11-15,0.12572324355137518,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20181201,2018-12-01,0.007826012020594053,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20181217,2018-12-17,0.20409301645070732,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20190102,2019-01-02,-0.02612826603325397,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20190118,2019-01-18,-0.02810652584721948,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20190219,2019-02-19,0.019259896521222834,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20190307,2019-03-07,-0.023163928235085986,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20190323,2019-03-23,0.4181922814084812,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20190424,2019-04-24,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20190510,2019-05-10,-0.9043977055449428,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20190526,2019-05-26,0.2864925918543618,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20190611,2019-06-11,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20190627,2019-06-27,-0.00596519825325302,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20190713,2019-07-13,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20190729,2019-07-29,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20190814,2019-08-14,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20190830,2019-08-30,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20190915,2019-09-15,-0.02297310921949046,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20191001,2019-10-01,0.6324435318275229,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20191017,2019-10-17,-0.027043730229507103,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20191102,2019-11-02,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20191118,2019-11-18,0.1740395294587853,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20191204,2019-12-04,0.13115443961284878,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20200105,2020-01-05,-0.011532758753583514,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20200121,2020-01-21,0.05591805080170674,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20200206,2020-02-06,-0.043628776195228265,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20200222,2020-02-22,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20200309,2020-03-09,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20200325,2020-03-25,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20200410,2020-04-10,0.4916201117318505,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20200426,2020-04-26,0.42552475780409044,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20200512,2020-05-12,-0.012265593360344338,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20200528,2020-05-28,0.1380753138075325,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20200613,2020-06-13,-0.00960886762483437,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20200629,2020-06-29,0.00446701296316562,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20200715,2020-07-15,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20200731,2020-07-31,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20200816,2020-08-16,-0.025281408994965844,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20200901,2020-09-01,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20200917,2020-09-17,-0.003349041618129727,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20201003,2020-10-03,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20201019,2020-10-19,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20201120,2020-11-20,0.04176951601109103,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20201206,2020-12-06,0.2645345836835196,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20201222,2020-12-22,0.004717366443391673,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20210107,2021-01-07,0.073007722288762,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20210123,2021-01-23,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20210208,2021-02-08,0.23560880803061576,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20210224,2021-02-24,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20210312,2021-03-12,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20210328,2021-03-28,0.14984668487458339,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20210413,2021-04-13,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20210429,2021-04-29,0.27373271889400896,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20210515,2021-05-15,0.1419188365001171,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20210531,2021-05-31,0.22208336804687717,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20210616,2021-06-16,-0.9678869621066187,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20210702,2021-07-02,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20210718,2021-07-18,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20210803,2021-08-03,0.007156054021702439,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20210819,2021-08-19,0.17011334004595569,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20210904,2021-09-04,-0.008904916102443254,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20210920,2021-09-20,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20211006,2021-10-06,0.06869763899466878,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20211022,2021-10-22,-0.027074175224226428,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20211107,2021-11-07,0.013920040494663178,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20211123,2021-11-23,-0.04223149951184159,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20211209,2021-12-09,-0.0142278334377831,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20211225,2021-12-25,-0.026424596836519074,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20220126,2022-01-26,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20220211,2022-02-11,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20220227,2022-02-27,-0.024579379119316288,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20220315,2022-03-15,0.20914334543900842,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20220331,2022-03-31,-0.004584980669284178,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20220416,2022-04-16,0.009742163234248457,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20220502,2022-05-02,-0.009489111382345195,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20220518,2022-05-18,-0.014347620886428963,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20220619,2022-06-19,0.06892302751685127,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20220705,2022-07-05,0.0065540899733483645,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20220721,2022-07-21,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20220806,2022-08-06,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20220822,2022-08-22,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20220907,2022-09-07,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20220923,2022-09-23,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20221009,2022-10-09,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20221025,2022-10-25,0.135330852753661,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20221110,2022-11-10,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20221126,2022-11-26,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20221212,2022-12-12,0.14818697103812403,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20221228,2022-12-28,0.010302555660332046,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20230113,2023-01-13,-0.0314122673945738,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20230129,2023-01-29,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20230214,2023-02-14,0.03872746823295454,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20230302,2023-03-02,-0.033482052867106586,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20230318,2023-03-18,-0.02476274553078793,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20230403,2023-04-03,0.15261158145327847,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20230419,2023-04-19,-0.0012939488109573103,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20230521,2023-05-21,-0.019042123485288706,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20230606,2023-06-06,0.35347496530372585,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20230622,2023-06-22,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20230708,2023-07-08,0.6149068322981308,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20230724,2023-07-24,0.1572272015410971,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20230809,2023-08-09,0.23393011064166527,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20230825,2023-08-25,0.32407932011331464,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20230910,2023-09-10,0.11970263859340217,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20230926,2023-09-26,0.020305450197722757,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20231012,2023-10-12,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20231028,2023-10-28,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20231113,2023-11-13,0.17515586077813403,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20231129,2023-11-29,0.0841510156157057,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20231215,2023-12-15,0.13078097731239105,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20231231,2023-12-31,0.10249693271877178,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20240116,2024-01-16,0.12820649952439717,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20240201,2024-02-01,0.019883771359181263,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20240304,2024-03-04,-0.029311258779652048,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20240320,2024-03-20,0.1223601483153314,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20240405,2024-04-05,0.0076360029256145965,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20240421,2024-04-21,0.03708460427034802,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20240507,2024-05-07,-0.016317316994517928,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20240523,2024-05-23,0.052313111170500776,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20240608,2024-06-08,0.020153060645342964,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20240624,2024-06-24,-0.23858447488584283,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20240710,2024-07-10,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20240726,2024-07-26,0.5834046193327682,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20240811,2024-08-11,0.3099817171788202,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20240827,2024-08-27,0.17631998492118967,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20240912,2024-09-12,-0.004142463070883293,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20240928,2024-09-28,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20241014,2024-10-14,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20241030,2024-10-30,-0.036208772446438955,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20241115,2024-11-15,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20241201,2024-12-01,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20250118,2025-01-18,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20250307,2025-03-07,-0.29944765912677485,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20250408,2025-04-08,-0.01914191613331226,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20250424,2025-04-24,-0.0723442202652992,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20250510,2025-05-10,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20250526,2025-05-26,0.17578328088657813,"{""type"":""MultiPoint"",""coordinates"":[]}"
