system:index,date,.geo
LC08_045030_20230318,2023-03-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20230403,2023-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20230419,2023-04-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20230521,2023-05-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20230606,2023-06-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20230622,2023-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20230708,2023-07-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20230724,2023-07-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20230809,2023-08-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20230825,2023-08-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20230910,2023-09-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20230926,2023-09-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20231012,2023-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20231028,2023-10-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20231113,2023-11-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20231129,2023-11-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20231215,2023-12-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20231231,2023-12-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20240201,2024-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20240320,2024-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20240405,2024-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20240421,2024-04-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20240507,2024-05-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20240523,2024-05-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20240608,2024-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20240624,2024-06-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20240710,2024-07-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20240726,2024-07-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20240811,2024-08-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20240827,2024-08-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20240912,2024-09-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20240928,2024-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20241014,2024-10-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20241030,2024-10-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20241115,2024-11-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20241201,2024-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20250118,2025-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20250307,2025-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20250408,2025-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20250424,2025-04-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20250510,2025-05-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20250526,2025-05-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20250611,2025-06-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20250627,2025-06-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20250713,2025-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20130325,2013-03-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20130423,2013-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20130525,2013-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20130610,2013-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20130626,2013-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20130712,2013-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20130728,2013-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20130813,2013-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20130829,2013-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20130914,2013-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20130930,2013-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045031_20131016,2013-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
